"chapter","item_id","schema","specification","lexical_coverage","advisory_low"
20,"C20-04","numbered","(4) Selection and classification: top-$k$,   bottom-$k$, and cut-score decisions; loss functions for classification; why the   bottom-5 screening question is *not* a ranking question in the MSELP sense.",0.75,FALSE
20,"C20-05","numbered","(5) Percentile ranks and their standard errors (Lockwood et al. 2018);   van der Linden (2017).",1,FALSE
21,"C21-01","numbered","(1) A fair summary of Lee et al. (2025): multisite trials; site-specific   treatment effects; a DP prior on the effect distribution; CB and GR summaries;   finding that the summary choice interacts with the estimand.",0.846153846153846,FALSE
21,"C21-02","numbered","(2) **The delineation   table** — estimand, data structure, likelihood, source of within-unit error, what is   known versus estimated, the role of reliability, the decisions at stake:    | | Lee et al. (2025) | This work |   |---|---|---|   | Unit | Site | Person ($N = 20$–500) |   | Parameter | Site treatment effect | Latent trait $\theta_p$ |   | Level-1 data | Continuous outcomes within site | **Binary item responses** |   | Within-unit error | Estimated from the site's own sample; approximately ancillary to the parameter | **Depends on $\theta_p$ itself** through $\mathcal{J}(\theta_p)$ — heteroscedastic by construction |   | Item/design parameters | None | $\boldsymbol\beta$ estimated jointly; identification at stake |   | Reliability | Informativeness $I$ is average reliability; depends on site size and between-site variance | $\bar w$ is varied through test length and population; not directly comparable with $I$ without a mapping |   | Goals | Individual effects, ranking, EDF | The same three, plus explicit classification against a fixed substantive cut |    Every cell in this table is filled at T4.1 **from the source read end to end**, not   from the manuscript's or the reviewer's summary of it. Numeric ranges for the Lee et   al. column are left blank in this blueprint deliberately: they are exactly the kind of   detail that rule R1 exists to protect.",0.728813559322034,FALSE
21,"C21-03","numbered","(3) **What genuinely transfers**: the three-goal framework (which is Shen & Louis's,   not Lee et al.'s — an attribution the manuscript should make more visible), the CB   and GR estimators, and the $K$-matched α-elicitation strategy. Say so plainly;   understating transfer is what invites the ""repurposing"" charge.",0.875,FALSE
21,"C21-04","numbered","(4) **What does not   transfer, and why it is substantive.** Three items, each a real methodological   difference rather than a re-labelling: (i) error variance is a *function of the   parameter*, so shrinkage is heteroscedastic; nevertheless the fixed-item Rasch posterior   remains stochastically ordered by total score. The normal working model of ch. 11 is an   approximation here and was not needed there;   (ii) the latent scale is only identified up to a location constraint, so the   recovered $G$ is a different object with a different warrant (ch. 4, ch. 16) — no   analogue in the multisite setting; (iii) reliability has a different design mapping:   test length can be varied prospectively, but $I$ and $\bar w$ do not share a numerical   axis without an explicit mapping.",0.948717948717949,FALSE
21,"C21-05","numbered","(5) **The contribution statement** that follows: not   ""we applied CB and GR to IRT,"" and not a claim that Lee's result ends below the   assessment range, but a bounded adaptation involving the full binary-response   likelihood, trait-dependent information, latent-scale/finite-test identification, and   an explicit fixed-cut target in this comparison. Whether Lee's empirical pattern   transfers is assigned to the companion simulation study.",0.92,FALSE
21,"C21-06","numbered","(6) Adjacent precedents that   should be cited alongside: Lockwood et al. (2002, 2018); Paddock et al. (2006); Shen &   Louis (1998); Ghosh (1992).",1,FALSE
22,"C22-01","numbered","(1) Why Rasch: sufficiency and CML give this book's clean   distribution-free reference for item parameters (ch. 5), while fixed-effects or   external-calibration designs remain logical alternatives; no scale indeterminacy   (ch. 4), which makes semiparametric   identification tractable; and CBAs — the paper's target context — are overwhelmingly   short dichotomous tests where the 1PL is standard practice.",0.952380952380952,FALSE
22,"C22-02","numbered","(2) **What the body already covered.** Under TD-3 the 2PL is developed in   Parts II–V rather than here; this section is a one-page consolidation — where   sufficiency was lost (ch. 3), where the second constraint came from (ch. 4), how   information changed (ch. 7), and what none of it changed (the shrinkage algebra of   ch. 11).",0.727272727272727,FALSE
22,"C22-03","numbered","(3) **Polytomous   models** (PCM, GPCM, GRM): PCM retains sufficiency, while the GRM and GPCM do not for   different source-bounded reasons.",0.875,FALSE
22,"C22-04","numbered","(4) **MIRT**: coordinatewise multivariate CB/TG   precedents exist; a canonical joint transformation-aware loss, ordering, and EDF   action remain open.",1,FALSE
22,"C22-05","numbered","(5) **CDM/DCM**: the profile distribution is a bounded discrete   analogue, but Gu–Xu's known-item grouped masses and unknown-item C1/C2 conditions are   not structurally the same as San Martín's continuous integral functionals.",0.923076923076923,FALSE
22,"C22-06","numbered","(6) A summary   table: for each model family, does the identification argument hold, does the   shrinkage argument hold, do CB/GR apply, what is unknown.",1,FALSE
23,"C23-01","semicolon","Candidate items, to be finalized as the book is written: the finite-$N$   behaviour of the DPM posterior for $G$ under weak identification",0.571428571428571,FALSE
23,"C23-02","semicolon","whether the rank   proposition of ch. 20 holds exactly outside its stated conditions",1,FALSE
23,"C23-03","semicolon","a joint,   transformation-aware multivariate CB/GR action",1,FALSE
23,"C23-04","semicolon","how location/scale conventions   transform priors on interpretable functionals of $G$ (not on occupied $K$, which is   translation-invariant)",0.888888888888889,FALSE
23,"C23-05","semicolon","what   the normal working model of ch. 11 costs at $I < 15$",1,FALSE
23,"C23-06","semicolon","whether the sum-score fallacy   of ch. 13 changes any published non-normality conclusion",0.8,FALSE
23,"C23-07","semicolon","and how much of this   survives a misspecified *measurement* model as opposed to a misspecified $G$.",0.75,FALSE
24,"C24-01","semicolon","The 2PL item information display and its two opposing entries",0.5,FALSE
24,"C24-02","semicolon","the   equal-budget two-allocations comparison",0.666666666666667,FALSE
24,"C24-03","semicolon","the realized form-length asymmetry of the   companion design read as an instance",0.833333333333333,FALSE
24,"C24-04","semicolon","the scoring consequences",1,FALSE
24,"C24-05","semicolon","why the Rasch   boundary case keeps its privileges.",0.5,FALSE
25,"C25-01","semicolon","The functionals where they bite",1,FALSE
25,"C25-02","semicolon","two sixteen-item tests with identical   difficulties, one uniform and one information tower, for which the functionals prefer   opposite designs",1,FALSE
25,"C25-03","semicolon","the   thirteen-case catalogue (`mirt::marginal_rxx` from Gaussian fits versus MSEM from   separate empirical-histogram fits) and the C4 dissection",0.777777777777778,FALSE
25,"C25-04","semicolon","the corpus-scale estimator   dependence",0.666666666666667,FALSE
25,"C25-05","semicolon","what the companion ladder manipulated (operational coefficient; the   length-plus-c-star bundle; the collinearity caveat).",0.777777777777778,FALSE
26,"C26-01","semicolon","The positive affine orbit",1,FALSE
26,"C26-02","semicolon","package-default unconstrained sampling with   draw-wise post-hoc normalization versus the separate `constrained_item` model,   including the simulation/case-study regime difference",0.916666666666667,FALSE
26,"C26-03","semicolon","a known-item finite-pattern   functional partial-identification result and the remaining free-item problem",1,FALSE
26,"C26-04","semicolon","sufficiency loss",1,FALSE
26,"C26-05","semicolon","the missing CML reference arm.",1,FALSE
27,"C27-01","semicolon","The design in one paragraph",1,FALSE
27,"C27-02","semicolon","the confirmatory record (H1–H5 and the   control; H6, H7)",1,FALSE
27,"C27-03","semicolon","the safety exception cells",1,FALSE
27,"C27-04","semicolon","the lever decomposition and crossed   competition",1,FALSE
27,"C27-05","semicolon","the evidence census",1,FALSE
27,"C27-06","semicolon","predictions against returns.",1,FALSE
28,"C28-01","semicolon","The 889-dataset reliability census",1,FALSE
28,"C28-02","semicolon","the 504-dataset shape census and   its morphology",1,FALSE
28,"C28-03","semicolon","the measurability floor and the undetermined-not-normal rule",0.666666666666667,FALSE
28,"C28-04","semicolon","the   materiality census",1,FALSE
28,"C28-05","semicolon","the displacement-versus-improvement decomposition and its   reliability moderator",1,FALSE
28,"C28-06","semicolon","the seed floor (widened to the two-to-nine-percent   headline)",1,FALSE
28,"C28-07","semicolon","the GR test-length threshold",1,FALSE
28,"C28-08","semicolon","the second edition's verdict layer,   quoted with its unpreregistered status.",0.833333333333333,FALSE
29,"C29-01","semicolon","Settled, and by whom",1,FALSE
29,"C29-02","semicolon","settled in sharper form",1,FALSE
29,"C29-03","semicolon","reopened or newly   opened",1,FALSE
29,"C29-04","semicolon","the standing boundary.",1,FALSE
